排名,学校名称,省市,新生高考成绩得分,综合排名
660,合肥师范学院,安徽,26.3,526
660,重庆三峡学院,重庆,26.3,582
662,大庆师范学院,黑龙江,26.2,
663,丽水学院,浙江,26.1,511
664,黄淮学院,河南,26.0,539
664,商洛学院,陕西,26.0,572
664,上海健康医学院,上海,26.0,
667,兰州工业学院,甘肃,25.9,
667,玉溪师范学院,云南,25.9,566
669,聊城大学,山东,25.8,511
670,河池学院,广西,25.7,
670,南京工业大学浦江学院,江苏,25.7,
670,南京中医药大学翰林学院,江苏,25.7,
673,贺州学院,广西,25.6,542
673,黑龙江工业学院,黑龙江,25.6,
673,井冈山大学,江西,25.6,518
673,辽东学院,辽宁,25.6,542
673,周口师范学院,河南,25.6,548
678,信阳农林学院,河南,25.5,
679,乐山师范学院,四川,25.4,517
679,临沂大学,山东,25.4,467
679,莆田学院,福建,25.4,521
679,上海视觉艺术学院,上海,25.4,
683,南京理工大学泰州科技学院,江苏,25.3,
683,武昌首义学院,湖北,25.3,
685,华北理工大学冀唐学院,河北,25.2,
685,齐鲁工业大学,山东,25.2,450
687,成都工业学院,四川,25.0,592
687,贵州民族大学,贵州,25.0,485
687,湖南工学院,湖南,25.0,564
687,青岛农业大学,山东,25.0,454
687,中国传媒大学南广学院,江苏,25.0,
692,河北师范大学汇华学院,河北,24.9,
693,河北科技大学理工学院,河北,24.8,
693,南京信息工程大学滨江学院,江苏,24.8,
695,福建商学院,福建,24.7,
695,铜陵学院,安徽,24.7,566
697,安庆师范大学,安徽,24.6,511
697,河北农业大学现代科技学院,河北,24.6,
697,绥化学院,黑龙江,24.6,
700,广州航海学院,广东,24.5,
700,陇东学院,甘肃,24.5,594
702,河北工业大学城市学院,河北,24.4,
702,黑河学院,黑龙江,24.4,
702,内蒙古农业大学,内蒙古,24.4,542
702,西安交通大学城市学院,陕西,24.4,
706,南京邮电大学通达学院,江苏,24.3,
707,文华学院,湖北,24.1,
708,东北师范大学人文学院,吉林,23.9,
708,湖南科技学院,湖南,23.9,574
710,贵州师范学院,贵州,23.8,403
710,辽宁科技学院,辽宁,23.8,
710,内江师范学院,四川,23.8,479
713,江西警察学院,江西,23.7,
714,石家庄铁道大学四方学院,河北,23.6,
715,吉林体育学院,吉林,23.5,
716,甘肃民族师范学院,甘肃,23.4,
716,海南热带海洋学院,海南,23.4,
716,三江学院,江苏,23.4,
719,衢州学院,浙江,23.3,557
719,韶关学院,广东,23.3,526
719,苏州科技大学天平学院,江苏,23.3,
