排名,学校名称,省市,毕业生就业率,综合排名
285,北京外国语大学,北京,96.12%,51
286,河海大学,江苏,96.11%,72
286,沈阳工程学院,辽宁,96.11%,460
288,华南农业大学,广东,96.10%,143
289,河北美术学院,河北,96.09%,
289,郑州工业应用技术学院,河南,96.09%,
291,西北农林科技大学,陕西,96.07%,86
292,安徽新华学院,安徽,96.06%,
292,沈阳大学,辽宁,96.06%,415
294,电子科技大学,四川,96.04%,33
294,东华大学,上海,96.04%,48
296,广东技术师范学院,广东,96.03%,352
296,合肥工业大学,安徽,96.03%,82
296,浙江万里学院,浙江,96.03%,574
299,华中农业大学,湖北,96.02%,63
299,温州大学,浙江,96.02%,188
299,浙江师范大学,浙江,96.02%,104
302,兰州交通大学,甘肃,96.01%,289
302,宁夏师范学院,宁夏,96.01%,
302,浙江中医药大学滨江学院,浙江,96.01%,
305,滁州学院,安徽,96.00%,585
305,华南理工大学广州学院,广东,96.00%,
305,黄淮学院,河南,96.00%,539
305,陕西服装工程学院,陕西,96.00%,
305,苏州大学应用技术学院,江苏,96.00%,
310,华北理工大学,河北,95.99%,191
311,山东科技大学泰山科技学院,山东,95.97%,
312,杭州电子科技大学信息工程学院,浙江,95.95%,
313,中国民航大学,天津,95.94%,181
314,滨州学院,山东,95.93%,557
315,桂林电子科技大学信息科技学院,广西,95.89%,
315,湖南大学,湖南,95.89%,31
315,遵义医学院,贵州,95.89%,420
318,沈阳师范大学,辽宁,95.88%,323
318,台州学院,浙江,95.88%,
320,河北师范大学汇华学院,河北,95.86%,
320,仲恺农业工程学院,广东,95.86%,479
322,河海大学文天学院,安徽,95.85%,
323,西南林业大学,云南,95.84%,427
324,大连外国语大学,辽宁,95.83%,
324,温州大学瓯江学院,浙江,95.83%,
326,中南大学,湖南,95.79%,26
327,安徽理工大学,安徽,95.77%,415
327,北京工业大学耿丹学院,北京,95.77%,
327,中央财经大学,北京,95.77%,52
330,广州大学,广东,95.76%,176
331,辽宁科技大学,辽宁,95.75%,438
332,信阳师范学院,河南,95.74%,256
333,滨州医学院,山东,95.73%,364
333,福建警察学院,福建,95.73%,
335,河北医科大学,河北,95.72%,118
336,沈阳航空航天大学,辽宁,95.71%,204
336,沈阳建筑大学,辽宁,95.71%,296
338,北京电影学院,北京,95.70%,
338,河南工程学院,河南,95.70%,463
338,上海外国语大学,上海,95.70%,70
338,温州肯恩大学,浙江,95.70%,
342,嘉兴学院南湖学院,浙江,95.69%,
343,重庆交通大学,重庆,95.68%,247
344,云南财经大学,云南,95.67%,278
345,右江民族医学院,广西,95.66%,289
346,石家庄学院,河北,95.65%,434
346,武汉生物工程学院,湖北,95.65%,
348,嘉兴学院,浙江,95.63%,358
349,邵阳学院,湖南,95.62%,572
350,东北农业大学,黑龙江,95.61%,142
351,广西科技师范学院,广西,95.60%,
351,广西师范学院,广西,95.60%,302
351,广西艺术学院,广西,95.60%,
354,大连海事大学,辽宁,95.59%,123
355,黔南民族师范学院,贵州,95.58%,
356,重庆文理学院,重庆,95.57%,320
357,四川外国语大学,重庆,95.56%,
358,中国青年政治学院,北京,95.55%,
359,南京师范大学,江苏,95.51%,63
360,哈尔滨华德学院,黑龙江,95.50%,
361,哈尔滨石油学院,黑龙江,95.43%,
362,北京交通大学海滨学院,河北,95.40%,
362,北京语言大学,北京,95.40%,
362,东北大学,辽宁,95.40%,42
362,天津工业大学,天津,95.40%,165
362,中国医科大学,辽宁,95.40%,74
362,中国政法大学,北京,95.40%,94
368,渤海大学,辽宁,95.38%,169
368,沈阳医学院,辽宁,95.38%,212
370,蚌埠医学院,安徽,95.37%,438
370,辽宁石油化工大学,辽宁,95.37%,427
370,中华女子学院,北京,95.37%,
373,东北财经大学,辽宁,95.36%,89
373,兰州交通大学博文学院,甘肃,95.36%,
375,大连医科大学,辽宁,95.34%,96
375,陕西理工大学,陕西,95.34%,443
375,西昌学院,四川,95.34%,
378,四川大学,四川,95.33%,17
379,南京工业大学,江苏,95.32%,94
380,锦州医科大学,辽宁,95.31%,250
380,丽水学院,浙江,95.31%,511
380,西南财经大学天府学院,四川,95.31%,
380,昭通学院,云南,95.31%,
384,北京中医药大学,北京,95.30%,86
385,百色学院,广西,95.29%,
386,北京林业大学,北京,95.28%,89
387,福建农林大学金山学院,福建,95.26%,
388,广西民族大学,广西,95.25%,243
388,西南财经大学,四川,95.25%,66
390,攀枝花学院,四川,95.24%,584
391,大连医科大学中山学院,辽宁,95.23%,
391,沈阳工业大学,辽宁,95.23%,333
391,四川外国语大学成都学院,四川,95.23%,
394,黄山学院,安徽,95.22%,557
395,河北地质大学华信学院,河北,95.20%,
395,温州医科大学,浙江,95.20%,132
397,北京科技大学天津学院,天津,95.19%,
398,沈阳科技学院,辽宁,95.17%,
399,北京中医药大学东方学院,河北,95.14%,
399,闽南师范大学,福建,95.14%,233
399,天津财经大学珠江学院,天津,95.14%,
399,郑州轻工业学院,河南,95.14%,364
403,广州体育学院,广东,95.13%,
403,河北金融学院,河北,95.13%,
405,贵州民族大学,贵州,95.12%,485
405,湖北汽车工业学院,湖北,95.12%,348
405,遵义师范学院,贵州,95.12%,
408,哈尔滨工程大学,黑龙江,95.10%,61
408,重庆大学,重庆,95.10%,35
410,贵州师范大学,贵州,95.09%,467
410,武昌首义学院,湖北,95.09%,
412,四川文理学院,四川,95.08%,551
413,安徽工程大学,安徽,95.07%,395
